RVL;VW;Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
West;13;503854;Reisezentrum Detmold;;;Bahnhofstraße 8;32756;Detmold;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;;;;;;;51939951;8873809
West;13;504019;Reisezentrum Dinslaken;;;Bahnhofsplatz 1;46535;Dinslaken;;Reisezentrum;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;09:00-13:00;;;;;;51567060;6737280
West;13;504191;Reisezentrum Dortmund Hbf;;;Königswall 15;44137;Dortmund;;Reisezentrum;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;08:00-19:30;;;08:00-19:30;;;51517668;7459331
West;13;504217;Reisezentrum Duisburg Hbf;;;Mercatorstr. 17;47051;Duisburg;;Reisezentrum;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;08:00-17:00;;;10:00-19:00;;;51430142;6773444
West;13;505404;Reisezentrum Dülmen;;;Bahnhofstr. 50;48249;Dülmen;;Reisezentrum;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;08:00-11:30;12:00-14:00;;;;;51827963;7293373
West;13;504142;Reisezentrum Düren;;;Hauptbahnhof 1;52351;Düren;;Reisezentrum;06:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-20:00;;;08:00-18:00;;;08:00-12:00;12:30-14:30;;;;;50808568;6480880
West;13;503912;Reisezentrum Düsseldorf Flughafen;;;Flughafenstr. 120;40474;Düsseldorf;;Reisezentrum;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:30-20:00;;;10:00-14:30;15:00-18:30;;51275639;6766477
West;13;503904;Reisezentrum Düsseldorf Hbf;;;Konrad-Adenauer-Platz 14;40210;Düsseldorf;;Reisezentrum;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;07:00-22:00;;;07:00-22:00;;;51220688;6792033
West;13;503953;Reisezentrum Erkelenz;;;Anton-Raky-Allee 1;41812;Erkelenz;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;51077157;6321439
West;13;503540;Reisezentrum Essen Hbf;;;Freiheit 3;45127;Essen;;Reisezentrum;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;07:30-19:00;;;09:00-19:00;;;51451935;7014516
West;13;504118;Reisezentrum Euskirchen;;;Oststraße 2a;53879;Euskirchen;;Reisezentrum;06:00-17:30;;;09:00-17:30;;;09:00-17:30;;;09:00-20:00;;;09:00-17:30;;;08:00-16:30;;;09:00-12:30;13:00-16:30;;50658475;6793283
